Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
38,"J Dörpinghaus, S Klante, M Christian, C Meigen…","From social networks to knowledge graphs: A plea for interdisciplinary approaches",2022,"Social Sciences & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2590291122000912","https://scholar.google.com/scholar?cites=17368941859469786833&as_sdt=2005&sciodt=2007&hl=en",1,"2026-07-07 10:25:49","HTML","","",,,,,,38,9.50,8,5,4,"… between data science, graph theory and social network analysis. This paper seeks to discuss … The contributions of this paper are (1) a knowledge graph model representation of a multi-…","https://www.sciencedirect.com/science/article/pii/S2590291122000912","https://scholar.google.com/scholar?q=related:0f4bupjgCvEJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
9,"A Akinnubi, M Alassad, R Amure, N Agarwal","KG-CFSA: a comprehensive approach for analyzing multi-source heterogeneous social network knowledge graph",2024,"Social Network Analysis and …","Springer","https://link.springer.com/article/10.1007/s13278-024-01320-y","https://scholar.google.com/scholar?cites=16833833784610757458&as_sdt=2005&sciodt=2007&hl=en",2,"2026-07-07 10:25:49","HTML","10.1007/s13278-024-01320-y","",,,,,,9,4.50,2,4,2,"… when developing such a multi-source knowledge graph model. We believe that this approach makes it easy to analyze and perform social network analysis on a multi-source social …","https://link.springer.com/article/10.1007/s13278-024-01320-y","https://scholar.google.com/scholar?q=related:UpuxO6PKnekJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
21,"Q Zhao, J Liu, N Sullivan, K Chang…","Anomaly detection of unstructured big data via semantic analysis and dynamic knowledge graph construction",2021,"… fusion, and target …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11756/117560N/Anomaly-detection-of-unstructured-big-data-via-semantic-analysis-and/10.1117/12.2589047.short","https://scholar.google.com/scholar?cites=6782085400927464295&as_sdt=2005&sciodt=2007&hl=en",3,"2026-07-07 10:25:49","","10.1117/12.2589047.short","",,,,,,21,4.20,4,5,5,"… (2) Historical social network analysis. The historical behavior of users in the designated … These tweets are used to construct a Social Knowledge Graph for social network analysis and …","https://www.researchgate.net/profile/Erik-Blasch/publication/350820832_Anomaly_detection_of_unstructured_big_data_via_semantic_analysis_and_dynamic_knowledge_graph_construction/links/684007b06a754f72b5905fc5/Anomaly-detection-of-unstructured-big-data-via-semantic-analysis-and-dynamic-knowledge-graph-construction.pdf","https://scholar.google.com/scholar?q=related:Z-ukNr3OHl4J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
23,"R Amure, N Agarwal","Modeling cross-platform narrative templates: a temporal knowledge graph approach",2025,"Social Network Analysis and Mining","Springer","https://link.springer.com/article/10.1007/s13278-025-01429-8","https://scholar.google.com/scholar?cites=12249067621930289661&as_sdt=2005&sciodt=2007&hl=en",4,"2026-07-07 10:25:49","HTML","10.1007/s13278-025-01429-8","",,,,,,23,23.00,12,2,1,"… This research proposes a framework that uses a temporal knowledge graph for cross-platform narrative analysis and leverages data mining to extract unique and important narrative …","https://link.springer.com/article/10.1007/s13278-025-01429-8","https://scholar.google.com/scholar?q=related:_cnkkhpu_akJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
6,"A Morales Tirado, J Carvalho, M Ratta…","Musical Meetups Knowledge Graph (MMKG): a collection of evidence for historical social network analysis",2024,"European Semantic …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-60635-9_7","https://scholar.google.com/scholar?cites=2377148764743515571&as_sdt=2005&sciodt=2007&hl=en",5,"2026-07-07 10:25:49","","10.1007/978-3-031-60635-9_7","",,,,,,6,3.00,2,4,2,"… Section 4 describes the hybrid knowledge graph generation pipeline. We evaluate the knowledge graph in Sect. 5 for its ability to answer key competency questions and via a survey …","https://oro.open.ac.uk/96738/1/2024_ESWC_MMKG.pdf","https://scholar.google.com/scholar?q=related:s73L9DRU_SAJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
32,"Y Shen, X Jiang, Z Li, Y Wang, C Xu, H Shen, X Cheng","UniSKGRep: A unified representation learning framework of social network and knowledge graph",2023,"Neural Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S0893608022004518","https://scholar.google.com/scholar?cites=12646439966927032291&as_sdt=2005&sciodt=2007&hl=en",6,"2026-07-07 10:25:49","","","",,,,,,32,10.67,5,7,3,"… social network (SN) with knowledge graph (KG), and jointly … a Unified Social Knowledge Graph Representation learning … KG are organized as the Social Knowledge Graph (SKG), a …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4169998","https://scholar.google.com/scholar?q=related:4w_9bSUuga8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
17,"S Munir, RAS Malick, SI Jami, G Ahmed, S Khan…","An integrated approach: using knowledge graph and network analysis for harnessing digital advertisement",2023,"Multimedia Tools and …","Springer","https://link.springer.com/article/10.1007/s11042-021-11856-2","https://scholar.google.com/scholar?cites=9424393800523443871&as_sdt=2005&sciodt=2007&hl=en",7,"2026-07-07 10:25:49","","10.1007/s11042-021-11856-2","",,,,,,17,5.67,3,6,3,"… The proposed method in [29] uses the knowledge graph for mapping user interests. Authors claimed that the model uses different social network analysis approaches which were not …","https://www.academia.edu/download/79970598/Munir2022_Article_AnIntegratedApproachUsingKnowl.pdf","https://scholar.google.com/scholar?q=related:n-6XnzosyoIJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
5,"BC Molokwu, SB Shuvo, Z Kobti…","Social network analysis using knowledge-graph embeddings and convolution operations",2021,"2020 25th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9412799/","https://scholar.google.com/scholar?cites=7908198688027337485&as_sdt=2005&sciodt=2007&hl=en",8,"2026-07-07 10:25:49","","","",,,,,,5,1.00,1,4,5,"Link prediction and node classification in social networks remain open research problems with respect to Artificial Intelligence (AI). Innate representations about social network …","","https://scholar.google.com/scholar?q=related:DWMUrc6Qv20J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
3,"L Jiahui, Z Peiyao, Y Xiaoliang","Research Hotspots and Trends Analysis of Real-World Data Based on Social Network Analysis and Knowledge Graph",2021,"亚洲社会药学","ajsp.magtechjournal.com","http://ajsp.magtechjournal.com/EN/Y2021/V16/I3/272","https://scholar.google.com/scholar?cites=4075150212320978154&as_sdt=2005&sciodt=2007&hl=en",9,"2026-07-07 10:25:49","","","",,,,,,3,0.60,1,3,5,"… Through social network analysis and the visual knowledge graph, the hotspots and trends of the RWD research in the past ten years in China are comprehensively presented, …","http://ajsp.magtechjournal.com/CN/article/downloadArticleFile.do?attachType=PDF&id=628","https://scholar.google.com/scholar?q=related:6uS_64bXjTgJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"Z Liu, X Guo, Q Ren, Z Zhang","Social-Knowledge Big Graph Integrating Ontology and Social Network on the Perspective of “Knowledge Association”: A Case Study of Knowledge …",2026,"Knowledge Organization","imrpress.com","https://www.imrpress.com/journal/KO/53/2/10.31083/KO48375","",10,"2026-07-07 10:25:49","HTML","10.31083/KO48375","",,,,,,0,0.00,0,4,1,"… Traditional approaches, which rely on either ontological precision or social network analysis … into a practical, large-scale knowledge graph. To empirically validate the feasibility and …","https://www.imrpress.com/journal/KO/53/2/10.31083/KO48375","https://scholar.google.com/scholar?q=related:WLSRny5U3lMJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
