"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Jiang J.; Luo M.; Li X.; Zhang J.","Jiang, Jinbiao (59669564100); Luo, Mingwan (59397592700); Li, Xiangyang (60140474800); Zhang, Jianhua (60140364200)","59669564100; 59397592700; 60140474800; 60140364200","Network attack pattern recognition and early warning based on multimodal data and artificial intelligence","2026","Discover Computing","29","1","121","","","0","10.1007/s10791-026-10006-2","https://www.scopus.com/pages/publications/105031418259?origin=resultslist","School of Computer and Artificial Intelligence, Nanjing University of Finance & Economics, Jiangsu, Nanjing, 210023, China; Department of Information Engineering, Yangjiang Polytechnic, Guangdong, Yangjiang, 529500, China; Tarim University, Xinjiang, Alaer, 843300, China","Jiang J., School of Computer and Artificial Intelligence, Nanjing University of Finance & Economics, Jiangsu, Nanjing, 210023, China; Luo M., Department of Information Engineering, Yangjiang Polytechnic, Guangdong, Yangjiang, 529500, China; Li X., Tarim University, Xinjiang, Alaer, 843300, China; Zhang J., Tarim University, Xinjiang, Alaer, 843300, China","This study proposes an innovative method for recognizing network attack patterns and issuing early warnings that combines multimodal data processing with advanced artificial intelligence technology. By comprehensively analyzing multiple data sources, including traffic, logs, and events, and applying deep learning models, the efficient identification of complex network attack behaviors is achieved. At the same time, ensemble learning and knowledge graphs are introduced to enhance the system’s stability and accuracy, as well as improve model interpretability, providing an intuitive support tool for network security managers. Experimental results show that, compared to traditional algorithms, this new method has achieved significant progress in key performance indicators, particularly in addressing high-dimensional and data imbalance problems. This demonstrates that integrating multimodal data with AI technology is a practical approach to addressing contemporary network security challenges. Future work will focus on optimizing existing models, exploring additional data types, and enhancing the system’s adaptability to dynamic network environments, thereby continuously improving the effectiveness of network attack detection and response efficiency. © The Author(s) 2026.","Artificial intelligence; Cyber-attack; Deep learning; Ensemble learning; Multimodal data","","X. Li; Tarim University, Alaer, Xinjiang, 843300, China; email: lixiangyang126@hotmail.com","","Springer Science and Business Media B.V.","29482992","","","","English","Discov. Comput","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031418259"
"Ren W.; Zhao L.; Li W.","Ren, Weiwu (35732088600); Zhao, Li (60332324000); Li, Wenjuan (59283885900)","35732088600; 60332324000; 59283885900","A knowledge extrapolation model for attack inference based on graph attention networks and relation mapping","2026","Knowledge and Information Systems","68","1","57","","","1","10.1007/s10115-025-02669-y","https://www.scopus.com/pages/publications/105027377668?origin=resultslist","School of Computer Science and Technology, Changchun University of Science and Technology, Jilin, Changchun, 130012, China","Ren W., School of Computer Science and Technology, Changchun University of Science and Technology, Jilin, Changchun, 130012, China; Zhao L., School of Computer Science and Technology, Changchun University of Science and Technology, Jilin, Changchun, 130012, China; Li W., School of Computer Science and Technology, Changchun University of Science and Technology, Jilin, Changchun, 130012, China","With the rapid development of Internet technologies, complex attacks such as advanced persistent threats (APT) have become increasingly frequent. Attack knowledge reasoning has emerged as a critical technique for detecting and responding to such threats, enabling the inference of potential attack paths and supporting security decision-making. However, existing methods are mostly based on the closed-world assumption and adopt a single-step reasoning strategy, which makes it difficult to uncover the multi-hop relationships hidden in complex attack behaviors, and lacks the ability to model unknown entities and relationships. To address these challenges, this paper proposes an attack knowledge extrapolation model based on graph attention networks (GAT) and relation mapping. The model first constructs a mapping topology graph within a cybersecurity knowledge graph and leverages neighborhood structures to generate feature representations for unknown entities and relations. Then, it integrates graph attention mechanisms with residual connections to adaptively aggregate informative neighbor features, thereby enhancing the expressiveness of entity and relation embeddings. Finally, a scoring function is employed to infer and predict unknown attack-related entity–relation triples. Experiments conducted on several real-world cybersecurity datasets show that the proposed method substantially enhances performance on common evaluation metrics like mean reciprocal rank (MRR) and Hits@N, confirming its effectiveness and applicability in open-world attack knowledge reasoning tasks. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.","Attack knowledge; Cybersecurity knowledge graph; Graph neural networks; Knowledge graph embedding; Knowledge reasoning","Complex networks; Cybersecurity; Decision making; Extrapolation; Graph embeddings; Graph neural networks; Graph structures; Knowledge graph; Knowledge management; Network security; Topology; Attack knowledge; Cyber security; Cybersecurity knowledge graph; Graph embeddings; Graph neural networks; Knowledge graph embedding; Knowledge graphs; Knowledge reasoning; Network mapping; Mapping","W. Ren; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, Jilin, 130012, China; email: renww@cust.edu.cn","","Springer Science and Business Media Deutschland GmbH","02191377","","","","English","Knowl. Inf. Systems. Syst.","Article","Final","","Scopus","2-s2.0-105027377668"
"Khaled O.; Habib S.; Adeeb D.; Alselwi A.","Khaled, Osamah (58950973800); Habib, Shaista (56432246900); Adeeb, Daniyal (60284330900); Alselwi, Abdulmuneem (57223146954)","58950973800; 56432246900; 60284330900; 57223146954","Enhancing knowledge graph embeddings for improved link prediction using graph neural networks","2026","Knowledge and Information Systems","68","1","45","","","1","10.1007/s10115-025-02619-8","https://www.scopus.com/pages/publications/105026721473?origin=resultslist","Department of Artificial Intelligence, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Electrical Engineering, Riphah International University, Lahore, 54000, Pakistan; Advanced Technology & Intelligence Solutions (ATIS), Taiz, Yemen","Khaled O., Department of Artificial Intelligence, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan, Department of Electrical Engineering, Riphah International University, Lahore, 54000, Pakistan; Habib S., Department of Artificial Intelligence, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Adeeb D., Department of Artificial Intelligence, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Alselwi A., Advanced Technology & Intelligence Solutions (ATIS), Taiz, Yemen","The link prediction in knowledge graphs plays a significant role in citation network applications, recommendation systems, and social network analysis. Although graph-based machine learning has improved, conventional models are unable to provide dynamic time variations and capture the underlying semantics in real world graphs. In this paper, authors provide a framework that incorporates domain-oriented regularizations into graph neural networks (GNNs) to increase link prediction performance. It proposes centrality-driven, research-domain similarity, and temporal loss regularization to enhance node embedding and allows the model to learn structural and semantic patterns natural to knowledge graphs. The framework is tested on the Cora, Citeseer, and PubMed datasets, where it is observed to greatly enhance prediction levels, achieving ROC-AUC scores of 90%, 91%, and 97%, along with better accuracy, F1 score, and recall. Scalability is also evident in the model, as demonstrated on PubMed, which contains more than 19,000 nodes and 44,000 edges. This publication underscores the importance of using structural and semantic regularization to solve real-world problems in such areas as social networks, ecommerce, and scholarly studies. The paper also argues for the introduction of regularization techniques in GNNs during the process of link prediction and compares the results of different models. It also covers the existing constraints and potential research directions for the future, including refining model generalization and scalability for large, dynamic graphs of knowledge. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.","Citeseer; Constraints; Cora; Graph convolutional network (GCN); Graph neural networks (GNNs); Knowledge graph embedding (KGE); Link prediction; Node embeddings; PubMed dataset","Graph embeddings; Graph neural networks; Graph theory; Graphic methods; Knowledge graph; Semantics; CiteSeer; Constraint; Convolutional networks; Cora; Embeddings; Graph convolutional network; Graph embeddings; Graph neural network; Graph neural networks; Knowledge graph embedding; Knowledge graphs; Link prediction; Node embedding; Pubmed dataset; Forecasting","S. Habib; Department of Artificial Intelligence, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; email: shaista.habib@umt.edu.pk","","Springer Science and Business Media Deutschland GmbH","02191377","","","","English","Knowl. Inf. Systems. Syst.","Article","Final","","Scopus","2-s2.0-105026721473"
"Abo-Dahab Y.; Hernandez R.; Duran I.C.A.","Abo-Dahab, Youssef (58848187900); Hernandez, Ruby (60518971000); Duran, Ismael Caleb Arechiga (60518453900)","58848187900; 60518971000; 60518453900","Pharmacology knowledge graphs enable drug repurposing without chemical structure information","2026","Discover Artificial Intelligence","6","1","541","","","0","10.1007/s44163-026-01303-2","https://www.scopus.com/pages/publications/105041819871?origin=resultslist","University of California, San Francisco, San Francisco, CA, United States; Stanford University, Stanford, CA, United States","Abo-Dahab Y., University of California, San Francisco, San Francisco, CA, United States; Hernandez R., Stanford University, Stanford, CA, United States; Duran I.C.A., Stanford University, Stanford, CA, United States","Background: Drug repurposing offers a cost-effective alternative to de novo discovery, yet the relative contributions of model complexity, data volume, and feature modalities to knowledge graph–based repurposing remain poorly quantified under rigorous temporal validation. Methods: We constructed a pharmacology knowledge graph from ChEMBL 36 comprising 5,348 entities (3,127 drugs, 1,156 proteins, 1,065 indications) and 20,015 edges across 4 relation types. We enforced a strict temporal split (training: 2022; testing: 2023–2025) with biologically verified hard negatives mined from failed assays and clinical trials. We benchmarked five Knowledge Graph Embedding models (TransE, TransR, RotatE, ComplEx, DistMult; 0.78–0.81M parameters) and a Standard GNN (3.44M parameters) that incorporates drug chemical structure using a GAT encoder and ESM-2 embeddings evaluated by PR-AUC and Hits@k on drug–protein and drug–indication link prediction. Scaling (0.78M–9.75M parameters; 25–100% data) and feature ablation studies isolated contributions of model capacity, graph density, and node feature modalities. Results: Feature ablation revealed a counter-intuitive performance hierarchy. Removing the GAT-based drug structure encoder entirely from the GNN and retaining only topological embeddings combined with ESM-2 protein features improved drug–protein PR-AUC from 0.5631 to 0.5785, while simultaneously reducing VRAM usage from 5.30 GB to 353 MB. Additionally, replacing the GAT encoder with Morgan fingerprints further degraded performance (PR-AUC = 0.5286), indicating that explicit chemical structure representations can be not only redundant but detrimental for predicting pharmacological network interactions. Scaling the GNN beyond 2.44 M parameters yielded diminishing performance gains, whereas increasing training data consistently improved model performance with no observable ceiling. External validation confirmed 6 of the top 14 novel predictions (42.9%) as established therapeutic indications. Conclusions: Drug pharmacological behavior can be accurately predicted using target-centric information and drug–network topology alone, without requiring explicit drug chemical structure representations. Model performance is substantially more sensitive to data volume and node density than to architectural complexity, with scaling in model size yielding limited returns relative to improvements in graph coverage. Consequently, state-of-the-art performance is achievable on budget hardware, with a model using only 352 MB VRAM on a consumer GPU. © The Author(s) 2026.","Computational pharmacology; Drug repurposing; Graph neural networks; Knowledge graph; Link prediction; TransR","Ablation; Complex networks; Cost effectiveness; Drug delivery; Drug discovery; Drug interactions; Embeddings; Graph neural networks; Graph structures; Graph theory; Knowledge graph; Medical applications; Structure (composition); Chemical structure representation; Computational pharmacology; Data volume; Drug repurposing; Graph neural networks; Knowledge graphs; Link prediction; Repurposing; Scalings; Transr; Forecasting","Y. Abo-Dahab; University of California, San Francisco, San Francisco, United States; email: youssef.abo-dahab@ucsf.edu","","Springer Nature","27310809","","","","English","Discov. Artif. Intell.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041819871"
"Li Z.; Zhou T.; Zhu J.; Li D.; Zhu X.; Wei D.; Liu J.; Song M.","Li, Zhi (60698725700); Zhou, Tianyang (55450274800); Zhu, Junhu (55575525100); Li, Dongyang (57195475221); Zhu, Xiaodong (57193487760); Wei, Dongze (60698122000); Liu, Jinghu (60698725800); Song, Mengbo (60697515000)","60698725700; 55450274800; 55575525100; 57195475221; 57193487760; 60698122000; 60698725800; 60697515000","PenExpert: A multi-agent hybrid LLM–expert system framework for autonomous penetration testing","2026","Expert Systems with Applications","331","","133284","","","0","10.1016/j.eswa.2026.133284","https://www.scopus.com/pages/publications/105042282658?origin=resultslist","Information Engineering University, Zhengzhou, 450001, China; Henan Key Laboratory of Information Security, National Engineering Technology Research Center of the Digital Switching System, Zhengzhou, 450001, China; National Information Technology Security Research Center, Beijing, 100085, China","Li Z., Information Engineering University, Zhengzhou, 450001, China; Zhou T., Information Engineering University, Zhengzhou, 450001, China, Henan Key Laboratory of Information Security, National Engineering Technology Research Center of the Digital Switching System, Zhengzhou, 450001, China; Zhu J., Information Engineering University, Zhengzhou, 450001, China, Henan Key Laboratory of Information Security, National Engineering Technology Research Center of the Digital Switching System, Zhengzhou, 450001, China; Li D., Information Engineering University, Zhengzhou, 450001, China, Henan Key Laboratory of Information Security, National Engineering Technology Research Center of the Digital Switching System, Zhengzhou, 450001, China; Zhu X., Information Engineering University, Zhengzhou, 450001, China, Henan Key Laboratory of Information Security, National Engineering Technology Research Center of the Digital Switching System, Zhengzhou, 450001, China; Wei D., Information Engineering University, Zhengzhou, 450001, China; Liu J., Information Engineering University, Zhengzhou, 450001, China, National Information Technology Security Research Center, Beijing, 100085, China; Song M., Information Engineering University, Zhengzhou, 450001, China","Penetration testing (pentesting) is a critical technique for identifying and mitigating vulnerabilities in network systems, but traditional workflows rely heavily on manual effort, leading to lengthy assessment cycles and high costs. In recent years, while automated pentesting methods based on large language models (LLMs) have gained traction, they still face challenges in complex scenarios such as multi-host networks. These include linear task decomposition, insufficient domain knowledge coverage, and weak state management capabilities, leading to compromised testing efficiency and unreliable results. To address these issues, this paper introduces PenExpert–a multi-agent autonomous pentesting framework integrating LLMs and expert systems, designed to achieve end-to-end automated testing in black-box scenarios. PenExpert designs an expert system grounded in the MITRE ATT&CK knowledge base as its semantic foundation to enhance the penetration decision-making capabilities of LLMs. By constructing a specialized penetration payload repository and leveraging retrieval-augmented generation (RAG) technology, it enables precise payload invocation. Additionally, the framework introduces a structured penetration task state management component for accurate environmental awareness, enhanced state robustness, and recoverable task execution. Experiments demonstrate that PenExpert achieves 7%–123% relative improvement in subtask completion rates across different scenarios and baselines. To the best of our knowledge, it is the first framework to demonstrate end-to-end autonomous penetration in a five-layer network scenario, validating the framework’s effectiveness and scalability in complex penetration environments. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Expert system; Large language models; Multi-agent system; Pentesting; Retrieval-augmented generation","Autonomous agents; Complex networks; Data mining; Decision making; Information retrieval; Intelligent agents; Multi agent systems; Network layers; Semantics; End to end; Language model; Large language model; Multi agent; Multiagent systems (MASs); Penetration testing; Pentesting; Retrieval-augmented generation; State management; System framework; Expert systems","T. Zhou; Information Engineering University, Zhengzhou, 450001, China; email: aipteamzhouty@aliyun.com","","Elsevier Ltd","09574174","","ESAPE","","English","Expert Sys Appl","Article","Final","","Scopus","2-s2.0-105042282658"
"Han D.; Zhang Y.; Li F.; Wu S.; Lu H.","Han, Dongqi (60616899300); Zhang, Yao (60617255400); Li, Fanghao (59861323000); Wu, Shengli (55706872400); Lu, Hu (55803856700)","60616899300; 60617255400; 59861323000; 55706872400; 55803856700","Complex query answering on knowledge graphs with Griffin and polarity-weighted message passing","2026","Knowledge and Information Systems","68","1","140","","","0","10.1007/s10115-026-02770-w","https://www.scopus.com/pages/publications/105037963876?origin=resultslist","School of Computer Science and Communication Engineering, Jiangsu University, 301 Xuefu Road, Jiangsu, Zhenjiang, 212013, China; School of Computing, Ulster University, York Street, Belfast, BT15 1AP, United Kingdom","Han D., School of Computer Science and Communication Engineering, Jiangsu University, 301 Xuefu Road, Jiangsu, Zhenjiang, 212013, China; Zhang Y., School of Computer Science and Communication Engineering, Jiangsu University, 301 Xuefu Road, Jiangsu, Zhenjiang, 212013, China; Li F., School of Computer Science and Communication Engineering, Jiangsu University, 301 Xuefu Road, Jiangsu, Zhenjiang, 212013, China; Wu S., School of Computing, Ulster University, York Street, Belfast, BT15 1AP, United Kingdom; Lu H., School of Computer Science and Communication Engineering, Jiangsu University, 301 Xuefu Road, Jiangsu, Zhenjiang, 212013, China","Complex query answering (CQA) on knowledge graphs aims to find answers in incomplete knowledge bases through multi-step logical reasoning. Recent studies have proposed logical message passing mechanisms based on pre-trained neural link predictors. However, existing message passing models, when aggregating logical messages, often rely on their own modeling capacity to implicitly handle positive and negative messages, thereby overlooking the intrinsic differences between logical polarities such as affirmation and negation. To address these shortcomings, we propose the polarity-aware Griffin message passing network (PG-MPN). The core idea of this network is to differentiate and hierarchically process the logical messages delivered by the pre-trained neural link predictor. First, PG-MPN explicitly distinguishes between positive and negative messages and enhances the representation of negative messages via a nonlinear transformation. Subsequently, independent attention weights are applied to each type of message separately. At the core of the framework, the Griffin architecture is employed as an efficient sequence processor to capture the complex dependencies among the weighted positive and negative messages. Finally, an adaptive weighted aggregation is performed on the output of Griffin to generate more informative node representations. Experimental results demonstrate that modeling the polarity of logical messages, combined with a powerful sequence processing architecture, enhances the model’s ability to understand and reason over complex logical structures. The source code is available at https://github.com/HanDongqi/PG-MPN. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.","Complex query answering; Griffin architecture; Message passing networks; Polarity-aware reasoning","Architecture; Complex networks; Computer architecture; Knowledge graph; Mathematical transformations; Network architecture; Complex queries; Complex query answering; Griffin architecture; Incomplete knowledge; Knowledge graphs; Message passing network; Message-passing; Multisteps; Polarity-aware reasoning; Query answering; Message passing","H. Lu; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 301 Xuefu Road, Jiangsu, 212013, China; email: luhu@ujs.edu.cn","","Springer Science and Business Media Deutschland GmbH","02191377","","","","English","Knowl. Inf. Systems. Syst.","Article","Final","","Scopus","2-s2.0-105037963876"
"Qin S.; Li L.","Qin, Shaojiao (60348694200); Li, Lin (60348817700)","60348694200; 60348817700","Interactive Teaching Evaluation Method Based on KG-CQA","2026","International Journal of Computational Intelligence Systems","19","1","46","","","0","10.1007/s44196-025-01139-1","https://www.scopus.com/pages/publications/105028427685?origin=resultslist","Guangxi University of Finance and Economics, Nanning, 530007, China; School of Finance and Insurance, Guangxi University of Finance and Economics, Nanning, 530007, China","Qin S., Guangxi University of Finance and Economics, Nanning, 530007, China; Li L., School of Finance and Insurance, Guangxi University of Finance and Economics, Nanning, 530007, China","Interactive teaching evaluation plays an important role in the development of modern education. Accurately evaluating teaching effectiveness can effectively promote the improvement of classroom education. However, traditional methods of interactive teaching evaluation face limitations such as low evaluation efficiency and delayed feedback. Therefore, this study raises an interactive teaching evaluation model based on Knowledge Graph and Complex Question Answering. The model uses K-dimensional Tree and Sentence Bidirectional Encoder Representations from Transformers variant to optimize the retrieval process, while introducing Graph Convolution Neural Networks and attention mechanism to aggregate entity neighbor feature information. In addition, the model incorporates Hybrid Particle Swarm Optimization and Bidirectional Long Short-Term Memory networks to construct a complete interactive teaching evaluation model. Experimental results show that the improved algorithms achieve high fitness and classification accuracy of 95.11%. At the same time, the classification accuracy of the interactive teaching evaluation model built in the simulation verification reached 96.82%, In the K12 education stage, question–answer matching and answer accuracy reach 89.36% and 97.74%, respectively, while on the dialogue-based question answering dataset, they reach 87.38% and 98.47%. In the practical application verification, the activity level of the model classroom is highly consistent with the evaluation of the expert group, the error of the number of questions is only 2, 1, 2 times, the convergence time of the subject scene switching is 0.96 s, and the accuracy rate of scene recognition is 95.67%. These results indicate that the Knowledge Graph and Complex Question Answering based interactive teaching evaluation model can improve question–answer recognition efficiency and evaluation accuracy. This study contributes to the precise construction of interactive teaching evaluation models in educational scenarios and promotes the steady development of modern education. © The Author(s) 2026.","Complex question answering; Graph convolution neural networks; Interactive teaching; Knowledge graph; Teaching evaluation","Classification (of information); Complex networks; Efficiency; Knowledge graph; Neural networks; Particle swarm optimization (PSO); Question answering; Complex question answering; Complex questions; Convolution neural network; Evaluation models; Graph convolution neural network; Interactive teaching; Knowledge graphs; Modern educations; Question Answering; Teaching evaluation; Convolution","L. Li; School of Finance and Insurance, Guangxi University of Finance and Economics, Nanning, 530007, China; email: linli0611@163.com","","Springer Science and Business Media B.V.","18756891","","","","English","Int. J. Comput. Intell. Syst.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028427685"
"Zhai C.; Wang Y.; Cui J.; Tao X.","Zhai, Changhai (7005199835); Wang, Yong (60434733900); Cui, Jiawei (57222656319); Tao, Xigui (39262674900)","7005199835; 60434733900; 57222656319; 39262674900","Cascading failure analysis of critical infrastructure in conflict zones: a large language model-driven knowledge graph framework","2026","Reliability Engineering and System Safety","276","","112890","","","0","10.1016/j.ress.2026.112890","https://www.scopus.com/pages/publications/105040060954?origin=resultslist","Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology, Harbin, 150094, China; Key Lab of Smart Prevention and Mitigation of Civil Engineering Disaster of the Ministry of Industry and Information Technology, Harbin Institute of Technology, Harbin, 150094, China; Institute of Defense Engineering, AMS, PLA, Beijing, 100850, China","Zhai C., Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology, Harbin, 150094, China, Key Lab of Smart Prevention and Mitigation of Civil Engineering Disaster of the Ministry of Industry and Information Technology, Harbin Institute of Technology, Harbin, 150094, China; Wang Y., Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology, Harbin, 150094, China, Key Lab of Smart Prevention and Mitigation of Civil Engineering Disaster of the Ministry of Industry and Information Technology, Harbin Institute of Technology, Harbin, 150094, China; Cui J., Key Lab of Structures Dynamic Behavior and Control of the Ministry of Education, Harbin Institute of Technology, Harbin, 150094, China, Key Lab of Smart Prevention and Mitigation of Civil Engineering Disaster of the Ministry of Industry and Information Technology, Harbin Institute of Technology, Harbin, 150094, China; Tao X., Institute of Defense Engineering, AMS, PLA, Beijing, 100850, China","Modern geopolitical conflicts increasingly target interdependent critical infrastructures, where localized damage can trigger cascading failures, leading to widespread disruption of essential public services. Traditional intelligence safety assessment frameworks struggle to process the dynamic, unstructured data streams from conflict environments. To bridge this gap, this paper introduces a novel probabilistic framework for dynamic cascading failure analysis of Critical Infrastructure (CI) under attacks by integrating Large Language Model (LLM) and Knowledge Graph (KG). Our novel dual-graph architecture first employs an LLM to automatically construct a Dynamic Battlefield Event Knowledge Graph (BEKG) from real-time Open-Source Intelligence (OSINT), capturing tactical events as they unfold. This dynamic event layer then serves as evidence for a probabilistic inference process on a static Infrastructure Service Dependency Knowledge Graph (ISDKG), which is modeled as a Bayesian Network (BN). This integration enables the simulation of the propagation of cascading failures, translating initial physical damage into a quantifiable risk assessment of widespread service disruptions. Validated through a case study on Ukraine's infrastructure, our system demonstrates high fidelity in automated knowledge construction, provides novel insights into cascading impact analysis, and offers a powerful decision-support tool for assessing the systemic vulnerability and resilience of complex infrastructure networks in conflict zones. © 2026 Elsevier Ltd.","Cascading failure; Critical infrastructure; Knowledge graph; Large language model; Service disruption","Bayesian networks; Complex networks; Computer hardware description languages; Damage detection; Decision support systems; Failure (mechanical); Failure analysis; Inference engines; Knowledge graph; Network security; Outages; Public works; Risk assessment; Safety engineering; Cascading failure analysis; Cascading failures; Conflict zones; Graph framework; Knowledge graphs; Language model; Large language model; Localized damage; Model-driven; Service disruptions; Critical infrastructures","J. Cui; School of Civil Engineering, Harbin Institute of Technology, Harbin, 73 Huanghe Road, Nangang District, 150090, China; email: cuijiawei@hit.edu.cn; X. Tao; Institute of Defense Engineering, AMS, PLA, Beijing, 100850, China; email: tonytxg@126.com","","Elsevier Ltd","09518320","","RESSE","","English","Reliab Eng Syst Saf","Article","Final","","Scopus","2-s2.0-105040060954"
"Le T.; Loc X.","Le, Thanh (59921080900); Loc, Xuan (60589305200)","59921080900; 60589305200","CCGCN: a complex composition graph convolutional network for temporal knowledge graph reasoning","2026","Knowledge and Information Systems","68","1","125","","","0","10.1007/s10115-026-02761-x","https://www.scopus.com/pages/publications/105036202901?origin=resultslist","Faculty of Information Technology, University of Science, 227 Nguyen Van Cu Street, Ward 4, District 5, Ho Chi Minh City, Viet Nam; Vietnam National University, Ho Chi Minh City, Viet Nam","Le T., Faculty of Information Technology, University of Science, 227 Nguyen Van Cu Street, Ward 4, District 5, Ho Chi Minh City, Viet Nam, Vietnam National University, Ho Chi Minh City, Viet Nam; Loc X., Faculty of Information Technology, University of Science, 227 Nguyen Van Cu Street, Ward 4, District 5, Ho Chi Minh City, Viet Nam, Vietnam National University, Ho Chi Minh City, Viet Nam","Temporal knowledge graphs (TKGs) represent real-world facts evolving over time by incorporating the multirelational structure of knowledge graphs with temporal dimensions. While extensions of graph convolutional networks, such as relational and composition-based variants, have demonstrated strong capabilities in modeling graph-structured data, effectively capturing both symmetric and asymmetric relational dependencies, their application to TKG reasoning remains challenging due to the need for preserving graph topology while integrating temporal dynamics. In this study, we propose a novel approach that explicitly models the compositional interactions between entities and relations within a complex geometric space, ensuring structural consistency while accommodating diverse relational patterns. To further enhance temporal reasoning, we introduce a diachronic mechanism that adaptively fuses structural graph information with temporal evolution. Through extensive experiments on multiple benchmark datasets using different composition operators, our approach consistently outperforms state-of-the-art methods across most metrics. These results highlight the effectiveness of our approach in capturing both spatial and temporal dependencies for robust TKG reasoning. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.","Complex geometric representations; Compositional interactions; Graph convolutional networks; Knowledge graph reasoning; Temporal knowledge graphs","Benchmarking; Convolution; Geometry; Graph structures; Graph theory; Graphic methods; Knowledge graph; Spatio-temporal data; Structure (composition); Complex geometric representation; Compositional interaction; Convolutional networks; Geometric representation; Graph convolutional network; Knowledge graph reasoning; Knowledge graphs; Temporal knowledge; Temporal knowledge graph; Complex networks","T. Le; Faculty of Information Technology, University of Science, Ho Chi Minh City, 227 Nguyen Van Cu Street, Ward 4, District 5, Viet Nam; email: lnthanh@fit.hcmus.edu.vn","","Springer Science and Business Media Deutschland GmbH","02191377","","","","English","Knowl. Inf. Systems. Syst.","Article","Final","","Scopus","2-s2.0-105036202901"
"Kumar A.; Rahman M.Z.; Mukhopadhyay A.","Kumar, Atul (60372746700); Rahman, Md Zamilur (56303880900); Mukhopadhyay, Asish (24783682300)","60372746700; 56303880900; 24783682300","An LLM-guided framework for link prediction in homogeneous graphs","2026","Social Network Analysis and Mining","16","1","31","","","0","10.1007/s13278-025-01514-y","https://www.scopus.com/pages/publications/105029447511?origin=resultslist","School of Computer Science, University of Windsor, Windsor, ON, Canada; Department of Computer Science and Mathematics, Algoma University, Sault Ste. Marie, ON, Canada; NORDIK Institute, Sault Ste. Marie, ON, Canada","Kumar A., School of Computer Science, University of Windsor, Windsor, ON, Canada; Rahman M.Z., School of Computer Science, University of Windsor, Windsor, ON, Canada, Department of Computer Science and Mathematics, Algoma University, Sault Ste. Marie, ON, Canada, NORDIK Institute, Sault Ste. Marie, ON, Canada; Mukhopadhyay A., School of Computer Science, University of Windsor, Windsor, ON, Canada","As social networks grow, link prediction has become vital in network analysis, estimating the likelihood of connections between unconnected nodes based on similarity scores. This study explores the intersection of Large Language Models (LLMs) and Graph Learning, with a particular focus on Link Prediction tasks on Homogeneous Networks, where we are using LLMs to analyze social network structures and predict missing links. There have been several studies that leveraged LLMs for Knowledge Graphs, Heterogeneous Graphs, and Text-Attributed Graphs. However, leveraging LLMs for Homogeneous Graphs with no textual information is still an understudied area, which is what we aimed to explore. We developed a framework that leverages LLMs for link prediction tasks requiring no textual information with different learning strategies. Our results demonstrate improvement in model performance for predicting missing links, especially when provided with few examples or fine-tuned on the domain-specific datasets, achieving results on par with state-of-the-art results, even with no fine-tuning. © The Author(s) 2025.","Homogeneous networks; In-context learning; Large language models; Link prediction","Graph structures; Graph theory; Graphic methods; Heterogeneous networks; Knowledge graph; Knowledge management; Learning systems; Prediction models; Social networking (online); Context learning; Homogeneous network; In contexts; In-context learning; In-network analysis; Language model; Large language model; Link prediction; Prediction tasks; Textual information; Forecasting","M.Z. Rahman; School of Computer Science, University of Windsor, Windsor, Canada; email: zamilur.rahman@algomau.ca","","Springer","18695450","","","","English","Soc. Netw. Analysis Min.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105029447511"
